desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
445467202201502,http://www.animal.go.kr/files/shelter/2022/08/202208201708654_s.jpg,20220820,보덕리 643-8 부근,[개] 믹스견,베이지,2022(년생),4.5(Kg),전북-군산-2022-00791,20220820,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208201708654.jpg,보호중,M,N,생후 4개월 추정,군산유기동물보호센터,063-451-2975,전라북도 군산시 대야면 보덕안정길 108-20,전라북도 군산시,홍지수,063-454-5913,
445464202202436,http://www.animal.go.kr/files/shelter/2022/08/202208202308218_s.jpg,20220820,아중체련공원,[고양이] 한국 고양이,삼색,2019(년생),4.3(Kg),전북-전주-2022-01117,20220820,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208202308218.jpg,종료(자연사),F,Y,교통사고,행복한동물병원,063-244-0090,전라북도 전주시 덕진구 인후동1가 806-6,전라북도 전주시,김상찬,063-281-5277,
445464202202435,http://www.animal.go.kr/files/shelter/2022/08/202208201108757_s.jpg,20220820,남전주교회 근방,[개] 말티즈,흰색,2018(년생),4.3(Kg),전북-전주-2022-01116,20220820,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208201108757.jpg,종료(반환),F,U,"치아가 빠져있음, 깨끗함",박영재동물병원,063-284-7774,전라북도 전주시 완산구 전주천서로 111 (서서학동),전라북도 전주시,김상찬,063-281-5277,
444453202200699,http://www.animal.go.kr/files/shelter/2022/08/202208201508228_s.jpg,20220820,서산축협하나로마트 본점 부근,[고양이] 한국 고양이,흰색,2021(년생),1.18(Kg),충남-서산-2022-00565,20220820,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208201508228.jpg,종료(방사),Q,U,"기력없음, 계속 쓰러짐, 경계심함",서산시 동물보호센터,041-660-2040,충청남도 서산시 인지면 무학재1길 99,충청남도 서산시,최기항,041-660-2392,
444453202200698,http://www.animal.go.kr/files/shelter/2022/08/202208201508421_s.jpg,20220820,수석동 애향공업사 부근,[개] 블랙 테리어,검정색,2019(년생),18(Kg),충남-서산-2022-00564,20220820,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208201508421.jpg,종료(반환),M,N,"교통사고 추정, 기립불능, 척추부근 부상, 감각없음",서산시 동물보호센터,041-660-2040,충청남도 서산시 인지면 무학재1길 99,충청남도 서산시,최기항,041-660-2392,
443571202201892,http://www.animal.go.kr/files/shelter/2022/08/202208201708323_s.jpg,20220820,휴암동 매립장 부근,[개] 실키테리어,실키,2010(년생),3(Kg),충북-청주-2022-00991,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208201708323.jpg,종료(반환),F,U,주인 연락되어 반환,반려동물보호센터,043-201-2298,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면),충청북도 청주시,정동복,043-201-2296,
443571202201891,http://www.animal.go.kr/files/shelter/2022/08/202208201708950_s.jpg,20220820,낭성면 무성교회 부근,[개] 퍼그,"갈, 검",2021(년생),3.7(Kg),충북-청주-2022-00990,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208201708950.jpg,보호중,F,U,순한 성격의 작은 퍼그,반려동물보호센터,043-201-2298,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면),충청북도 청주시,정동복,043-201-2296,
443447202200225,http://www.animal.go.kr/files/shelter/2022/08/202208201608197_s.jpg,20220820,음성군 금왕읍 대금고등학교 입구 4차선 도로 변,[개] 믹스견,검정색(다수) 및 연한 갈색(일부),2017(년생),4(Kg),충북-음성-2022-00192,20220820,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208201608197.jpg,보호중,F,N,"몸이 약해보이며, 겁이 많아 보임.",금왕동물병원,043-877-0763,충청북도 음성군 금왕읍 대금로 1498 (금왕읍) 금왕동물병원,충청북도 음성군,admin,043-871-3404,
443440202200226,http://www.animal.go.kr/files/shelter/2022/08/202208201108430_s.jpg,20220820,탑안로10길23-1,[개] 믹스견,흰색 검정,2020(년생),5(Kg),충북-제천-2022-00150,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208201108430.jpg,종료(반환),F,N,온순함,제천시 동물보호센터,043-647-0059,충청북도 제천시 금성면 적성로8길 51 (금성면),충청북도 제천시,제천시,043-641-6874,
442418202200534,http://www.animal.go.kr/files/shelter/2022/08/202208201708193_s.jpg,20220820,장학리 산 63-1,[개] 믹스견,"갈,흰색",2022(년생),3(Kg),강원-춘천-2022-00344,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208201708193.jpg,보호중,M,U,"겁이많음,피부병 있음",춘천시 동물보호센터,033-245-5351,강원도 춘천시 신북읍 영서로 3282 (신북읍) (전)102보충대 주차장,강원도 춘천시,허성주,033-245-5092,
441570202200637,http://www.animal.go.kr/files/shelter/2022/09/202209022309634_s.jpg,20220820,가남읍 신해리,[개] 믹스견,흰색,2022(년생),1.60(Kg),경기-여주-2022-00471,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/09/202209022309634.jpg,보호중,F,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 여주시,이유정,031-887-3202,
441570202200636,http://www.animal.go.kr/files/shelter/2022/09/202209022309374_s.jpg,20220820,가남읍 신해리,[개] 믹스견,블랙탄,2022(년생),1.80(Kg),경기-여주-2022-00470,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/09/202209022309374.jpg,보호중,M,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 여주시,이유정,031-887-3202,
441570202200635,http://www.animal.go.kr/files/shelter/2022/09/202209022309152_s.jpg,20220820,가남읍 신해리,[개] 믹스견,흰색,2022(년생),1.90(Kg),경기-여주-2022-00469,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/09/202209022309152.jpg,보호중,M,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 여주시,이유정,031-887-3202,
441570202200634,http://www.animal.go.kr/files/shelter/2022/08/202208202108495_s.jpg,20220820,가남읍 신해리,[고양이] 한국 고양이,"검정색, 흰색",2022(년생),0.40(Kg),경기-여주-2022-00468,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202108495.jpg,종료(자연사),M,N,"매우야윔, 눈이 좋지않음, 몸을 잘 가누지 못함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 여주시,이유정,031-887-3202,
441570202200633,http://www.animal.go.kr/files/shelter/2022/08/202208202108457_s.jpg,20220820,북내면 지내리,[개] 믹스견,흰색,2020(년생),9.50(Kg),경기-여주-2022-00467,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202108457.jpg,보호중,M,N,겁이 다소있음,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 여주시,이유정,031-887-3202,
441570202200632,http://www.animal.go.kr/files/shelter/2022/08/202208202108725_s.jpg,20220820,강천면 가야리,[고양이] 한국 고양이,삼색,2022(년생),0.40(Kg),경기-여주-2022-00466,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202108725.jpg,보호중,F,N,"야윔, 눈이 좋지않음",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 여주시,이유정,031-887-3202,
441570202200631,http://www.animal.go.kr/files/shelter/2022/08/202208202108669_s.jpg,20220820,강천면 가야리,[고양이] 한국 고양이,삼색,2022(년생),0.40(Kg),경기-여주-2022-00465,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202108669.jpg,보호중,F,N,"야윔, 눈이 좋지않음",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 여주시,이유정,031-887-3202,
441407202200725,http://www.animal.go.kr/files/shelter/2022/08/202208202208112_s.jpg,20220820,관고동 경충대로,[개] 믹스견,흰색,2022(년생),2.50(Kg),경기-이천-2022-00497,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208112.jpg,종료(입양),M,N,매우온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200724,http://www.animal.go.kr/files/shelter/2022/08/202208202208889_s.jpg,20220820,중리동 중리천로,[고양이] 한국 고양이,"검정색, 흰색",2022(년생),"0,40(Kg)",경기-이천-2022-00496,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208889.jpg,종료(자연사),F,N,"야윔, 온순",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200723,http://www.animal.go.kr/files/shelter/2022/08/202208202208193_s.jpg,20220820,신둔면 도예촌,[개] 믹스견,"흰색, 연갈색",2017(년생),5.50(Kg),경기-이천-2022-00495,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208193.jpg,보호중,M,N,"목띠 착용, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200722,http://www.animal.go.kr/files/shelter/2022/08/202208202208560_s.jpg,20220820,설성면 대죽리,[개] 믹스견,"흰색, 갈색",2022(년생),0.50(Kg),경기-이천-2022-00494,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208560.jpg,보호중,Q,N,포유,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200721,http://www.animal.go.kr/files/shelter/2022/08/202208202208950_s.jpg,20220820,설성면 대죽리,[개] 믹스견,"갈색, 흰색",2022(년생),0.50(Kg),경기-이천-2022-00493,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208950.jpg,보호중,Q,N,포유,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200720,http://www.animal.go.kr/files/shelter/2022/08/202208202208547_s.jpg,20220820,설성면 대죽리,[개] 믹스견,"흰색, 갈색",2022(년생),0.50(Kg),경기-이천-2022-00492,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208547.jpg,보호중,Q,N,포유,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200719,http://www.animal.go.kr/files/shelter/2022/08/202208202208836_s.jpg,20220820,설성면 대죽리,[개] 믹스견,"흰색, 갈색",2022(년생),0.50(Kg),경기-이천-2022-00491,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208836.jpg,보호중,Q,N,포유,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200718,http://www.animal.go.kr/files/shelter/2022/08/202208202208739_s.jpg,20220820,설성면 대죽리,[개] 믹스견,"흰색, 흑갈색",2020(년생),5.20(Kg),경기-이천-2022-00490,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208739.jpg,보호중,F,N,온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200717,http://www.animal.go.kr/files/shelter/2022/08/202208202208524_s.jpg,20220820,마장면 표교리,[개] 시베리안 허스키,"검정색, 흰색",2020(년생),21.00(Kg),경기-이천-2022-00489,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208524.jpg,보호중,M,N,온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200716,http://www.animal.go.kr/files/shelter/2022/08/202208202208194_s.jpg,20220820,마장면 표교리,[개] 풍산견,황색,2020(년생),18.00(Kg),경기-이천-2022-00488,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208194.jpg,보호중,F,N,"목띠착용, 온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200715,http://www.animal.go.kr/files/shelter/2022/08/202208202208373_s.jpg,20220820,부발읍 대관리,[개] 진도견,흰색,2022(년생),1.70(Kg),경기-이천-2022-00487,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208373.jpg,종료(입양),M,N,매우온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200714,http://www.animal.go.kr/files/shelter/2022/08/202208202208575_s.jpg,20220820,부발읍 대관리,[개] 믹스견,회갈색,2022(년생),1.50(Kg),경기-이천-2022-00486,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208575.jpg,보호중,M,N,매우온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200713,http://www.animal.go.kr/files/shelter/2022/08/202208202208679_s.jpg,20220820,부발읍 대관리,[개] 믹스견,흰색,2022(년생),1.50(Kg),경기-이천-2022-00485,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208679.jpg,종료(입양),F,N,매우온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200712,http://www.animal.go.kr/files/shelter/2022/08/202208202208852_s.jpg,20220820,부발읍 대관리,[개] 진도견,회갈색,2022(년생),1.90(Kg),경기-이천-2022-00484,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202208852.jpg,종료(입양),F,N,매우온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200711,http://www.animal.go.kr/files/shelter/2022/08/202208202108263_s.jpg,20220820,안흥동 애련정로,[개] 치와와,갈색,2012(년생),2.90(Kg),경기-이천-2022-00483,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202108263.jpg,보호중,F,N,매우온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200710,http://www.animal.go.kr/files/shelter/2022/08/202208202108752_s.jpg,20220820,설성면 대죽리,[개] 믹스견,"흰색, 크림색",2022(년생),0.50(Kg),경기-이천-2022-00482,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202108752.jpg,보호중,Q,N,포유,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200709,http://www.animal.go.kr/files/shelter/2022/08/202208202108478_s.jpg,20220820,설성면 대죽리,[개] 믹스견,"흰색, 크림색",2022(년생),0.50(Kg),경기-이천-2022-00481,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202108478.jpg,보호중,Q,N,포유,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
441407202200708,http://www.animal.go.kr/files/shelter/2022/08/202208202108104_s.jpg,20220820,설성면 대죽리,[개] 믹스견,"흰색, 연갈색",2022(년생),0.50(Kg),경기-이천-2022-00480,20220820,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208202108104.jpg,보호중,Q,N,포유,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),경기도 이천시,이정의,031-644-2612,
