animalCnterNm,institutionNm,animalCnterType,rescueAnimal,latitude,longitude
함안군동물보호소,함안군,단체,개,35.293573,128.397887
제천시동물보호센터,충청북도 제천시,단체,1.유실유기동물 2. 피학대 동물 중 소유자를 알 수 없는 동물 3. 소유자로부터 제8조제2항에 따른 학대를 받아 적정하게 치료보호받을 수 없다고 판단되는 동물,37.0687304,128.180049
위더스동물보호센터,이천시청,동물병원,"유기동물(개, 고양이 등)",37.29723368,127.5759381
사단법인 하얀비둘기,영도구청,법인,"개,고양이",35.17104943,128.8772136
인천종합동물병원(송현점),인천광역시 동구,동물병원,"개, 고양이",37.47660299,126.6336309
경동동물병원,인천광역시 중구,동물병원,"개, 고양이, 염소",37.471967,126.629931
정선가축병원,농업기술센터,동물병원,유기동물,37.379665,128.660687
화순군동물보호센터,화순군청,개인,"개, 고양이",35.053791,126.9732498
펫토피아 동물병원,성남시청,동물병원,동물보호법 제14조에 따른 구조/보호 조치 대상 동물,37.36709494,127.1276829
창녕유기동물보호소,경상남도 창녕군청,단체,"유실,유기동물(길고양이는 제외)+피학대동물 중 소유자 알수없거나, 적정한 치료및 보호를 받지 못하는 동물",35.573974,128.507423
대구유기동물보호센터,대구광역시 달서구청,동물병원,개+고양이+기타,35.86387506,128.7359612
강현림동물병원,서울특별시 양천구청,동물병원,반려동물,37.54403904,126.862417
한국야생동물보호협회,경기도 시흥시청,법인,반려동물,37.34026022,126.8700077
예천군유기동물보호소,예천군청,개인,개,36.67485095,128.4762466
한국동물구조관리협회,중랑구,법인,"개, 고양이, 토끼, 패럿, 기니피그, 햄스터",37.87011581,126.9835431
충주시 반려동물보호센터,충주시 축수산과,단체,개+고양이+기타,37.00836064,127.8497527
포항시동물보호센터,포항시 축산과,단체,개+고양이+야생동물(유해조수 제외),36.14568215,129.3326209
파주시수의사회,파주시,단체,개,37.860598,126.778143
인천수의사협회,인천광역시 미추홀구청,법인,개,37.56623917,126.719643
KU건국동물병원,예산군,동물병원,개+고양이,36.69416619,126.8363243
산청동물보호센터,산청동물보호수의사,법인,개+고양이,35.42615405,127.8811378
성북구동물보호센터,성북구청,법인,"개, 고양이, 토끼등",37.87011581,126.9835431
누리동물병원,부산광역시 수영구청,동물병원,"개, 고양이 등 야생동물이 아닌 유기동물",35.19653562,129.2060944
자인동물보호소,경산시,동물병원,유실·유기 동물(고양이제외),35.77788174,128.8855564
미래펫동물병원,울산광역시 남구청,동물병원,개+고양이+기타,35.540423,129.3123146
청주시반려동물보호센터,청주시청,단체,"개, 고양이, 기타 등",36.6370179,127.4674818
사단법인 한국동물구조관리협회,서울특별시강서구청,법인,개+고양이+기타동물,37.87011581,126.9835431
(사)한국야생동물보호협회 경기도남부지회,안산시농업기술센터 농업정책과,법인,개+토끼+앵무새,37.34025621,126.870048
사랑애완동물병원,통영시,동물병원,개+고양이,34.88284013,128.4172425
고양시동물보호센터,농업기술센터,동물병원,"유기유실동물, 부상길고양이, 3개월령 이하 길고양이",37.64977718,126.870068
사단법인 한국동물구조관리협회,양주시청,법인,개+고양이+기타동물,37.87011581,126.9835431
진주시 유기동물보호소,경상남도 진주시청,법인,개,35.22708596,128.1218709
백호동물병원,경상남도 고성군청,동물병원,개+고양이,34.977085,128.3223942
이리온동물병원 안산점,안산시농업기술센터 농업정책과,동물병원,고양이,37.313537,126.836745
