desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
446494202200396,http://www.animal.go.kr/files/shelter/2022/08/202208261108652_s.jpg,20220825,현대삼호중공업 주차장,[개] 믹스견,흰색,2022(년생),2(Kg),전남-영암-2022-00341,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208261108652.png,보호중,F,N,애교가 많으며 피부병이 부분적으로 있음,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,전라남도 영암군,영암군청,061-470-2506,
446494202200395,http://www.animal.go.kr/files/shelter/2022/08/202208261108812_s.jpg,20220825,현대삼호중공업 주차장,[개] 믹스견,흰색,2022(년생),2(Kg),전남-영암-2022-00340,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208261108812.png,보호중,F,N,애교가 많으며 피부병이 부분적으로 있음,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,전라남도 영암군,영암군청,061-470-2506,
446494202200394,http://www.animal.go.kr/files/shelter/2022/08/202208261108978_s.jpg,20220825,현대삼호중공업 주차장,[개] 믹스견,흰색,2022(년생),2(Kg),전남-영암-2022-00339,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208261108978.png,보호중,M,N,사람과 친화적이며 피부병이 부분적으로 있음,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,전라남도 영암군,영암군청,061-470-2506,
446494202200393,http://www.animal.go.kr/files/shelter/2022/08/20220826110846_s.jpg,20220825,현대삼호중공업 주차장,[개] 믹스견,흰색,2022(년생),2(Kg),전남-영암-2022-00338,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/20220826110846.png,보호중,M,N,애교가 많으며 피부병이 부분적으로 있음,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,전라남도 영암군,영암군청,061-470-2506,
446494202200392,http://www.animal.go.kr/files/shelter/2022/08/202208261108245_s.jpg,20220825,금정면 내산로 472,[개] 믹스견,갈색,2021(년생),6(Kg),전남-영암-2022-00337,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208261108245.png,보호중,M,N,사람과 매우 친화적이며 온순함,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,전라남도 영암군,영암군청,061-470-2506,
446494202200391,http://www.animal.go.kr/files/shelter/2022/08/202208261108994_s.jpg,20220825,금정면 내산로 472,[개] 믹스견,흰색과 갈색,2022(년생),4(Kg),전남-영암-2022-00336,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208261108994.png,보호중,M,N,사람과 매우 친화적이며 애교가 많음,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,전라남도 영암군,영암군청,061-470-2506,
446494202200390,http://www.animal.go.kr/files/shelter/2022/08/202208261008428_s.jpg,20220825,금정면 내산로 472,[개] 믹스견,흰색과 갈색,2022(년생),6(Kg),전남-영암-2022-00335,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208261008428.png,보호중,F,N,사람과 친화적이며 온순함,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,전라남도 영암군,영암군청,061-470-2506,
446481202200757,http://www.animal.go.kr/files/shelter/2022/08/202208261308101_s.jpg,20220825,여문 문화길 56,[개] 믹스견,흰색,2019(년생),6.0(Kg),전남-여수-2022-00496,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208261308101.jpg,보호중,M,N,부영6차 사거리 발견. 파란색 노란색 하네스 착용. 관리상태 양호.,유기동물보호소,061-659-4429,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",전라남도 여수시,축산정책팀,061-659-4429,
446481202200756,http://www.animal.go.kr/files/shelter/2022/08/202208261308139_s.jpg,20220825,돌산 모장길13,[개] 믹스견,갈노색,2020(년생),6.0(Kg),전남-여수-2022-00495,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208261308139.jpg,보호중,F,N,"온순함. 바닷가 배회하던 유기견 구조. 입소전 검사 완료. 종합백신, 광견병 접종",유기동물보호소,061-659-4429,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",전라남도 여수시,축산정책팀,061-659-4429,
445464202202449,http://www.animal.go.kr/files/shelter/2022/08/20220826110847_s.jpg,20220825,완산구 메너머1길 7 미니스톱,[개] 웰시 코기 펨브로크,"갈색, 흰색",2021(년생),8(Kg),전북-전주-2022-01130,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/20220826110847.jpg,종료(반환),F,N,순함,늘푸른동물병원,063-281-0075,"전라북도 전주시 완산구 다가동3가 충경로 11 (다가동3가, 늘푸른동물병원)",전라북도 전주시,김상찬,063-281-5277,
444449202201177,http://www.animal.go.kr/files/shelter/2022/08/20220826130870_s.jpg,20220825,천안시 서북구 천안천4길48. 성정 지구대 주변,[개] 치와와,미색,2021(년생),2.5(Kg),충남-천안-2022-00824,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/20220826130870.jpg,보호중,F,U,"미용한흔적있음,코가 연한검정색임",유실유기동물보호소,010-5913-5119,충청남도 천안시 동남구 충절로 437 (삼룡동),충청남도 천안시,오병구,041-521-5735,
443444202200276,http://www.animal.go.kr/files/shelter/2022/08/202208260908822_s.jpg,20220825,영동군청 상황실,[개] 푸들,검정색,2019(년생),3.8(Kg),충북-영동-2022-00126,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208260908822.jpg,종료(반환),F,N,"목줄,견인줄 미착용",최종주동물병원,043-744-4209,"충청북도 영동군 영동읍 계산로 54 (영동읍, 최종주동물병원)",충청북도 영동군,영동군 동물보호담당,043-740-3443,
443444202200275,http://www.animal.go.kr/files/shelter/2022/08/202208260908567_s.jpg,20220825,영동군청 상황실,[개] 포메라니안,흰색,2015(년생),6.8(Kg),충북-영동-2022-00125,20220826,20220905,http://www.animal.go.kr/files/shelter/2022/08/202208260908567.jpg,종료(반환),F,N,"목줄,견인줄 미착용",최종주동물병원,043-744-4209,"충청북도 영동군 영동읍 계산로 54 (영동읍, 최종주동물병원)",충청북도 영동군,영동군 동물보호담당,043-740-3443,
443439202200408,http://www.animal.go.kr/files/shelter/2022/08/202208260708357_s.jpg,20220825,동량면 장선텃골길54,[개] 믹스견,검정,2020(년생),11(Kg),충북-충주-2022-00250,20220826,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208260708357.jpg,보호중,M,N,"목줄착용,매우마르고 기력쇠약,안충있음,사상충음성",충주시동물보호센터,043-851-3168,충청북도 충주시 중앙탑면 일곱실길 70 (중앙탑면),충청북도 충주시,충주시,043-850-5864,
