desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
431371202200355,http://www.animal.go.kr/files/shelter/2022/08/202208111508291_s.jpg,20220811,방어동 후릉공원,[고양이] 한국 고양이,고등어,2022(년생),0.30(Kg),울산-동구-2022-00205,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/202208111508291.jpg,종료(기증),F,N,온순,동울산동물병원,052-235-0458,울산광역시 동구 방어진순환도로 737 (전하동),울산광역시 동구,울산광역시 동구,052-209-3538,
431371202200354,http://www.animal.go.kr/files/shelter/2022/08/202208111508822_s.jpg,20220811,방어동 후릉공원,[고양이] 한국 고양이,고등어,2022(년생),0.30(Kg),울산-동구-2022-00204,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/202208111508822.jpg,종료(입양),M,N,온순,동울산동물병원,052-235-0458,울산광역시 동구 방어진순환도로 737 (전하동),울산광역시 동구,울산광역시 동구,052-209-3538,
431370202200733,http://www.animal.go.kr/files/shelter/2022/08/202208111508225_s.jpg,20220811,신정시장 위쪽 재개발지역,[고양이] 한국 고양이,치즈,2022(년생),0.3(Kg),울산-남구-2022-00489,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/202208111508225.jpg,보호중,F,N,"조금 사나움, 경계심 많음, 예쁨",사랑동물병원,052-273-0075,울산광역시 남구 중앙로 165-1 (신정동),울산광역시 남구,권도하,052-226-5264,
430368202200343,http://www.animal.go.kr/files/shelter/2022/08/202208111008166_s.jpg,20220811,오정동 농수산물시장 주？？,[개] 믹스견,검백,2020(년생),25(Kg),대전-대덕-2022-00196,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/202208111008166.jpg,종료(반환),M,U,,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 대덕구,대덕구,042-608-6951,
429363202200492,http://www.animal.go.kr/files/shelter/2022/08/202208111708207_s.jpg,20220811,광산구 도천동,[고양이] 한국 고양이,"갈,흰",2022(년생),0.5(Kg),광주-광산-2022-00486,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/202208111708207.jpg,종료(자연사),M,N,22-7873,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주공역시 동물보호소,광주광역시 광산구,광산구,062-571-2808,
429362202200780,http://www.animal.go.kr/files/shelter/2022/08/202208111408410_s.jpg,20220811,북구 우산119,[개] 캐벌리어 킹 찰스 스파니엘,"갈,흰",2021(년생),10(Kg),광주-북구-2022-00577,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/202208111408410.jpg,종료(반환),M,N,22-0818,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주광역시 북구,북구,062-410-6557,
429361202200309,http://www.animal.go.kr/files/shelter/2022/08/202208111408466_s.jpg,20220811,남구 효덕지구대,[개] 푸들,"갈,흰",2020(년생),2.3(Kg),광주-남구-2022-00313,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/202208111408466.jpg,종료(반환),M,N,"22-0817 당근, 외고환",광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주광역시 남구,남구,062-607-2754,
429360202200425,http://www.animal.go.kr/files/shelter/2022/08/202208111708625_s.jpg,20220811,서구 쌍촌동,[고양이] 한국 고양이,"갈,흰",2022(년생),0.7(Kg),광주-서구-2022-00357,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/202208111708625.jpg,종료(자연사),F,N,22-7872,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주광역시 서구,서구,062-360-7373,
429360202200424,http://www.animal.go.kr/files/shelter/2022/08/20220811140845_s.jpg,20220811,서구 동천동,[개] 믹스견,"검,갈,흰",2022(년생),2.3(Kg),광주-서구-2022-00356,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/20220811140845.jpg,보호중,F,N,22-0816 핑퐁,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주광역시 서구,서구,062-360-7373,
428356202201105,http://www.animal.go.kr/files/shelter/2022/08/202208111308593_s.jpg,20220811,석남동465-3,[고양이] 한국 고양이,흰검,2022(년생),0.86(Kg),인천-서구-2022-00629,20220811,20220822,http://www.animal.go.kr/files/shelter/2022/08/202208111308593.jpg,종료(입양),F,N,1개월추정.순함.착함.눈이 너무 예쁨,가정동물병원,032-575-0833,인천광역시 서구 가정로 346 (가정동),인천광역시 서구,김하린,032-560-1903,
