desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
446498202200391,http://www.animal.go.kr/files/shelter/2022/08/202208292008843_s.jpg,20220829,동화면 유월정로,[개] 믹스견,흰색,2022(년생),3(Kg),전남-장성-2022-00298,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208292008843.jpg,보호중,M,N,어미견이 새끼를 낳고 없어져 새끼들을 신고인이 보호중이다 입소. 가족이 되어주세요,장성군동물보호센터,010-6484-2949,전라남도 장성군 삼서면 대중길 29-27,전라남도 장성군,동물보호담당자,061-390-8425,
446498202200390,http://www.animal.go.kr/files/shelter/2022/08/202208292008441_s.jpg,20220829,장성읍 터밀널 근처,[고양이] 한국 고양이,고등어,2022(년생),0.5(Kg),전남-장성-2022-00297,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208292008441.jpg,보호중,Q,N,건물 창문사이에 며칠째 새끼고양이가 갇혀있어 구조. 기력이 없어보임.,장성군동물보호센터,010-6484-2949,전라남도 장성군 삼서면 대중길 29-27,전라남도 장성군,동물보호담당자,061-390-8425,
446495202200302,http://www.animal.go.kr/files/shelter/2022/08/202208290908779_s.jpg,20220829,해제면 매곡내분길 93-7,[개] 믹스견,삼색,2022(년생),3.5(Kg),전남-무안-2022-00261,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208290908779.jpg,보호중,M,N,순하고 잘 따름,무안군유기동물보호소,061-450-4059,전라남도 무안군 무안읍 백로로 164-123,전라남도 무안군,무안군,061-450-4059,
446484202200334,http://www.animal.go.kr/files/shelter/2022/08/202208291608284_s.jpg,20220829,광양읍 베스파 주변,[개] 믹스견,검정,2022(년생),2.3(Kg),전남-광양-2022-00262,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208291608284.jpg,보호중,M,N,최초발견자 임시보호중(주인없을시 최초발견자 입양 예정 ),광양시 임시보호소,061-797-3386,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,전라남도 광양시,광양시,061-797-3386,
446482202200518,http://www.animal.go.kr/files/shelter/2022/08/202208291708255_s.jpg,20220829,홍내교길,[개] 믹스견,검정색,2020(년생),22.5(Kg),전남-순천-2022-00517,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208291708255.jpg,보호중,M,N,"종합백신,코로나장염접종,광견병접종,데피니트,스팟라인,사상충-음성",순천시유기동물보호소,061-749-8793,"전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소",전라남도 순천시,순천시,061-749-3094,
446482202200517,http://www.animal.go.kr/files/shelter/2022/08/202208301708365_s.jpg,20220829,블루시안아파트,[개] 푸들,갈색,2021(년생),3.69(Kg),전남-순천-2022-00516,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208301708365.jpg,보호중,M,N,"종합백신접종,코로나장염접종,광견병접종,데피니트.스팟라인,사상충(음성)",순천시유기동물보호소,061-749-8793,"전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소",전라남도 순천시,순천시,061-749-3094,
446481202200769,http://www.animal.go.kr/files/shelter/2022/08/202208291708112_s.jpg,20220829,주삼 덕양로 오성기업,[개] 믹스견,흰색,2019(년생),6.5(Kg),전남-여수-2022-00508,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208291708112.jpg,종료(반환),M,N,말티푸 추정. 목줄 끊어진 흔적 보임. 목띠 연락처 견주 확인 됨.,유기동물보호소,061-659-4429,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",전라남도 여수시,축산정책팀,061-659-4429,
446481202200768,http://www.animal.go.kr/files/shelter/2022/08/202208291508592_s.jpg,20220829,덕양로 92-7,[개] 닥스훈트,검정색,2019(년생),6.8(Kg),전남-여수-2022-00507,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208291508592.jpg,종료(반환),M,N,초록색 목띠 착용. 관리상태 양호,유기동물보호소,061-659-4429,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",전라남도 여수시,축산정책팀,061-659-4429,
446481202200767,http://www.animal.go.kr/files/shelter/2022/08/202208291508425_s.jpg,20220829,미평동 하이마트 인근,[개] 믹스견,검갈흰색,2020(년생),7.0(Kg),전남-여수-2022-00506,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208291508425.jpg,보호중,M,N,하이마트 뒤 이마트24시 앞 발견. 온순함.,유기동물보호소,061-659-4429,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",전라남도 여수시,축산정책팀,061-659-4429,
446480202200860,http://www.animal.go.kr/files/shelter/2022/08/202208291508608_s.jpg,20220829,그랜드사우나부근,[개] 믹스견,연황색,2022(년생),1.5(Kg),전남-목포-2022-00860,20220829,20220908,http://www.animal.go.kr/files/shelter/2022/08/202208291508608.jpg,보호중,M,N,"온순,주택에 들어와 배회",목포시유기동물보호소,010-9678-9966,전라남도 무안군 삼향읍 석매길 21-5,전라남도 목포시,축산계,061-270-8693,
