desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
448541202201284,http://www.animal.go.kr/files/shelter/2022/08/202208171508323_s.jpg,20220817,대합119,[개] 믹스견,검정+노랑,2022(년생),8(Kg),경남-창녕-2022-00567,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171508323.jpg,보호중,F,N,동네 떠돌이 개,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,경상남도 창녕군,창녕군,055-530-6103
448540202200335,http://www.animal.go.kr/files/shelter/2022/08/202208170908603[1]_s.jpg,20220817,칠서면 계룡로 53,[개] 믹스견,"갈색,검정",2019(년생),20.0(Kg),경남-함안-2022-00335,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208170908603[1].jpg,종료(반환),F,N,"젖이 불어있고 분홍색 가슴줄 착용 , 온순함",함안군유기동물보호소,010-6248-2131,경상남도 함안군 가야읍 함안대로 755,경상남도 함안군,함안군,055-580-4394
448540202200334,http://www.animal.go.kr/files/shelter/2022/08/202208170908290_s.jpg,20220817,"산인면 입곡리 산59 , 입곡군립공원",[개] 미니어쳐 핀셔,"갈색,검정",2015(년생),9.0(Kg),경남-함안-2022-00334,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208170908290.jpg,보호중,F,U,"입양전제임시보호중, 치아 상태 와 호흡기쪽 검진희망",함안군유기동물보호소,010-6248-2131,경상남도 함안군 가야읍 함안대로 755,경상남도 함안군,함안군,055-580-4394
448538202200389,http://www.animal.go.kr/files/shelter/2022/08/202208171708797_s.jpg,20220817,양산대로1449 (대석주유소),[개] 푸들,갈색,2017(년생),4.6(Kg),경남-양산-2022-00190,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171708797.jpg,종료(반환),M,U,갈색,양산시 동물보호센터,055-392-5669,경상남도 양산시 동면 석산리 392 양산시농업기술센터,경상남도 양산시,양산시,055-392-5663
448537202200989,http://www.animal.go.kr/files/shelter/2022/08/202208171408667_s.jpg,20220817,대동주유소,[고양이] 한국 고양이,"흰색,검정,황색",2022(년생),0.7(Kg),경남-거제-2022-00837,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171408667.jpg,보호중,F,N,뒷다리골절,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366
448537202200988,http://www.animal.go.kr/files/shelter/2022/08/20220817140886_s.jpg,20220817,혜성중옆 성미식당,[고양이] 한국 고양이,"갈색,검정,흰색",2022(년생),0.7(Kg),경남-거제-2022-00836,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/20220817140886.jpg,종료(자연사),F,N,눈상태안좋음,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366
448537202200987,http://www.animal.go.kr/files/shelter/2022/08/202208171308664_s.jpg,20220817,둔덕 상둔리 산,[개] 믹스견,갈검색,2022(년생),2(Kg),경남-거제-2022-00835,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171308664.jpg,종료(자연사),F,N,진드기많음,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366
448537202200986,http://www.animal.go.kr/files/shelter/2022/08/202208171308126_s.jpg,20220817,둔덕 상둔리 산,[개] 믹스견,갈검색,2022(년생),2(Kg),경남-거제-2022-00834,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171308126.jpg,종료(자연사),M,N,진드기많음,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366
448537202200985,http://www.animal.go.kr/files/shelter/2022/08/20220817130898_s.jpg,20220817,둔덕 상둔리 산,[개] 믹스견,갈색,2022(년생),2(Kg),경남-거제-2022-00833,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/20220817130898.jpg,종료(자연사),F,N,진드기많음,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366
448537202200984,http://www.animal.go.kr/files/shelter/2022/08/202208171308980_s.jpg,20220817,둔덕 상둔리 산,[개] 믹스견,아이보리,2022(년생),2(Kg),경남-거제-2022-00832,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171308980.jpg,종료(자연사),F,N,진드기 많음,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366
448537202200983,http://www.animal.go.kr/files/shelter/2022/08/202208171108586_s.jpg,20220817,중곡동 농협앞,[개] 포메라니안,"갈색,흰색",2017(년생),4(Kg),경남-거제-2022-00831,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171108586.jpg,종료(반환),M,N,목줄착용상태,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366
448537202200982,http://www.animal.go.kr/files/shelter/2022/08/202208171108920_s.jpg,20220817,삼성조선소내,[개] 믹스견,아이보리,2022(년생),2(Kg),경남-거제-2022-00830,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171108920.jpg,종료(자연사),M,N,2마리 같이 발견,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366
448537202200981,http://www.animal.go.kr/files/shelter/2022/08/202208171008143_s.jpg,20220817,삼성조선소내,[개] 믹스견,아이보리,2022(년생),2(Kg),경남-거제-2022-00829,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171008143.jpg,종료(자연사),M,N,2마리 같이 발견,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366
448535202201122,http://www.animal.go.kr/files/shelter/2022/08/202208170908145_s.jpg,20220817,김해시 지내동 311-3,[고양이] 한국 고양이,검정색,2022(년생),0.4(Kg),경남-김해-2022-01005,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208170908145.jpeg,보호중,Q,U,"2-324, 3개월미만추정, 안질환, 매우기력없음, 탈수증상",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133
448535202201121,http://www.animal.go.kr/files/shelter/2022/08/20220817090865_s.jpg,20220817,"김해시 해반천로 130번길 11, 화성빌딩",[고양이] 한국 고양이,검정색+흰색,2022(년생),0.5(Kg),경남-김해-2022-01004,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/20220817090865.jpeg,보호중,Q,U,"2-323, 3개월미만추정, 빌딩에혼자버려짐, 기력없음, 영양상태부족",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133
448535202201120,http://www.animal.go.kr/files/shelter/2022/08/20220817090841_s.jpg,20220817,김해시 진영119안전센터,[개] 믹스견,흰색,2018(년생),12(Kg),경남-김해-2022-01003,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/20220817090841.jpeg,보호중,F,U,"1-666, 비를맞아기력없음, 공격성이강함, 예민함",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133
448535202201119,http://www.animal.go.kr/files/shelter/2022/08/202208170908434_s.jpg,20220817,김해시 진례면 고모로 581번길 13,[개] 말티즈,흰색,2013(년생),3.5(Kg),경남-김해-2022-01002,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208170908434.jpeg,보호중,M,Y,"1-665, 노령견, 가슴에종양이있음, 미용이되어있음",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133
448535202201118,http://www.animal.go.kr/files/shelter/2022/08/202208170908559_s.jpg,20220817,김해시 서부소방서 주촌119안전센터,[개] 믹스견,흰색,2015(년생),17(Kg),경남-김해-2022-01001,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208170908559.jpeg,종료(반환),M,U,"1-664, 온순하고사람을잘따름, 눈물자국이있음, 힘이좋음",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133
448533202200504,http://www.animal.go.kr/files/shelter/2022/08/20220817150834_s.jpg,20220817,명정고개길160-5,[개] 믹스견,검정색,2022(년생),4(Kg),경남-통영-2022-00306,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/20220817150834.jpg,보호중,M,N,생후 3개월 추정(08.17.기준),통영시동물보호센터,055-650-6253,경상남도 통영시 광도면 전두1길 9-8,경상남도 통영시,최민정,055-650-6254
448532202200370,http://www.animal.go.kr/files/shelter/2022/08/202208171608753_s.jpg,20220817,청안동 부근,[개] 믹스견,흰색+검정,2021(년생),10(Kg),경남-창원3-2022-00226,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171608753.jpg,종료(반환),F,N,"공고번호 2022-224번 같은 개, 이름:쿠키",진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도 창원시 진해구,창원진해구,055-225-5701
448531202200979,http://www.animal.go.kr/files/shelter/2022/08/202208171708962_s.jpg,20220817,진주시 명석면 관지리 307,[개] 믹스견,흰색+갈색+검정색,2022(년생),5.8(Kg),경남-진주-2022-00471,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171708962.jpg,보호중,M,N,경계심 있음,진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설)",경상남도 진주시,진주시청,055-749-6204
448531202200978,http://www.animal.go.kr/files/shelter/2022/08/202208171008378_s.jpg,20220817,진주시 진성면 상촌리,[개] 믹스견,흰색+갈색+검정색,2022(년생),4.0(Kg),경남-진주-2022-00470,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171008378.jpg,보호중,F,N,"3개월추정 ,순함",진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설)",경상남도 진주시,진주시청,055-749-6204
448531202200977,http://www.animal.go.kr/files/shelter/2022/08/202208170808127_s.jpg,20220817,진주시 일반성면 창촌리,[개] 믹스견,갈색+흰색+검정색,2022(년생),2.4(Kg),경남-진주-2022-00469,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208170808127.jpg,보호중,F,N,"2개월추정 ,순함",진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설)",경상남도 진주시,진주시청,055-749-6204
448531202200976,http://www.animal.go.kr/files/shelter/2022/08/20220817080824_s.jpg,20220817,진주시 일반성면 창촌리,[개] 믹스견,흰색+갈색,2022(년생),2.7(Kg),경남-진주-2022-00468,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/20220817080824.jpg,보호중,M,N,"2개월추정 ,순함",진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설)",경상남도 진주시,진주시청,055-749-6204
448528202200755,http://www.animal.go.kr/files/shelter/2022/08/202208171008171_s.jpg,20220817,석전동 고속주유소,[개] 보스턴 테리어,검정+흰색+갈색,2021(년생),4(Kg),경남-창원2-2022-00207,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171008171.jpg,종료(반환),F,Y,"아무것도착용안함, 순하고 몸집이 작음, 내장칩있음, 이름: 몰리",마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701
448528202200754,http://www.animal.go.kr/files/shelter/2022/08/202208171008305_s.jpg,20220817,월영동 행정복지센터 앞 공원,[개] 요크셔 테리어,은색+갈색+검정,2015(년생),3(Kg),경남-창원2-2022-00206,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171008305.jpg,종료(반환),M,N,"아무것도착용안함, 순하고 얌전함, 미용하고 털이 자라서 털이 짧은편, 앉아 할줄암",마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701
