desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
426334202200659,http://www.animal.go.kr/files/shelter/2022/08/202208181108758_s.jpg,20220817,다산로 195 경부산업,[고양이] 한국 고양이,삼색,2022(년생),0.11(Kg),부산-사하-2022-00356,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181108758.jpg,보호중,F,U,생후 1주 추정. 허약,(사)하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동),부산광역시 사하구,박혜영,051-220-4477
426332202200401,http://www.animal.go.kr/files/shelter/2022/08/202208181708419_s.jpg,20220817,여성가족개발원,[고양이] 한국 고양이,검흰,2021(년생),2(Kg),부산-북구-2022-00355,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181708419.jpeg,종료(자연사),M,N,"병원에서치료후인계,매우기력없음,영양상태부족,북구2-178호",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),부산광역시 북구,하정무,051-309-4651
426330202200418,http://www.animal.go.kr/files/shelter/2022/08/20220818100877_s.jpg,20220817,사직119안전센터,[고양이] 혼합,갈색+검정색,2022(년생),0.27(Kg),부산-동래-2022-00218,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/20220818100877.jpg,종료(입양),F,U,"3개월미만 추정, 영양상태 불량, 기력저하",누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) 누리동물병원,부산광역시 동래구,동래구,051-550-4915
426330202200417,http://www.animal.go.kr/files/shelter/2022/08/202208181008244_s.jpg,20220817,명장로 44-1 이동채베이커리,[고양이] 혼합,검정+흰색,2022(년생),0.45(Kg),부산-동래-2022-00217,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181008244.jpg,보호중,M,N,"3개월미만 추정, 기력매우 저하, 영양상태 불량, 안질환",누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) 누리동물병원,부산광역시 동래구,동래구,051-550-4915
426330202200416,http://www.animal.go.kr/files/shelter/2022/08/202208181008112_s.jpg,20220817,명장동 이편한세상 108동앞,[개] 혼합,검정+흰색,2019(년생),7(Kg),부산-동래-2022-00216,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181008112.jpg,보호중,F,U,"초록색 목줄 착용, 순함",누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) 누리동물병원,부산광역시 동래구,동래구,051-550-4915
426329202200627,http://www.animal.go.kr/files/shelter/2022/08/202208180908685_s.jpg,20220817,서면 문화로 27,[고양이] 한국 고양이,검정,2022(년생),0.1(Kg),부산-부산진-2022-00282,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208180908685.jpg,종료(자연사),Q,U,"검정&어미없음.젖먹이.허약,탈진",동물보호관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동),부산광역시 부산진구,부산진구청,051-605-4474
426329202200626,http://www.animal.go.kr/files/shelter/2022/08/202208180908977_s.jpg,20220817,구청 당직실,[고양이] 한국 고양이,노흰,2022(년생),0.1(Kg),부산-부산진-2022-00281,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208180908977.jpg,종료(자연사),Q,U,"노흰&어미없음,젖먹이,허약,탈진",동물보호관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동),부산광역시 부산진구,부산진구청,051-605-4474
426329202200625,http://www.animal.go.kr/files/shelter/2022/08/202208180908652_s.jpg,20220817,서면 동문 굿모닝힐@부근,[개] 시츄,흰갈,2021(년생),5(Kg),부산-부산진-2022-00280,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208180908652.jpg,종료(반환),F,U,"흰갈&칩 없음,미용？？",동물보호관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동),부산광역시 부산진구,부산진구청,051-605-4474
426327202200165,http://www.animal.go.kr/files/shelter/2022/08/202208181908691_s.jpg,20220817,동구 망양로 641(미애원),[고양이] 믹스묘,흰색,2017(년생),3(Kg),부산-동구-2022-00088,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181908691.jpg,보호중,F,N,"품종 페르시안 추정, 사람 잘 따름",사단법인 하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동),부산광역시 동구,나선임,051-440-4521
411323202200690,http://www.animal.go.kr/files/shelter/2022/08/202208181408964_s.jpg,20220817,올림픽로 116 인근,[고양이] 한국 고양이,검,2017(년생),4.4(Kg),서울-송파-2022-00107,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181408964.jpg,종료(자연사),F,U,눈곱. 콧물. 기력없음. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 송파구,원은실,02-2147-2835
411323202200689,http://www.animal.go.kr/files/shelter/2022/08/202208181408157_s.jpg,20220817,송파대로 지하 439 석촌역8호선 대합실,[개] 믹스견,흰,2020(년생),14(Kg),서울-송파-2022-00106,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181408157.jpg,종료(반환),F,U,입가변색/때탐. 손할줄앎. 꼬리끝연갈색털약간있음. 사람좋아함. 꼬리단미안됨. 털상태양호.푸들혼종추정.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 송파구,원은실,02-2147-2835
411318202200318,http://www.animal.go.kr/files/shelter/2022/08/202208181508342_s.jpg,20220817,영등포구청 일근,[기타축종] 토끼,갈/검/흰,2022(년생),1.1(Kg),서울-영등포-2022-00092,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181508342.jpg,보호중,M,U,사람 약간 따름.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,서울특별시 영등포구,홍승우,02-2670-3417
411315202200338,http://www.animal.go.kr/files/shelter/2022/08/20220818150869_s.jpg,20220817,화곡동 830-1 신라쇼핑센터 인근,[고양이] 한국 고양이,갈/검줄,2022(년생),0.3(Kg),서울-강서-2022-00131,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/20220818150869.jpg,종료(자연사),F,U,머리쪽 작은 탈모. 눈곱. 콧물. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,서울특별시 강서구,동물보호팀,02-2600-6272
411311202200545,http://www.animal.go.kr/files/shelter/2022/08/202208181408656[1]_s.jpg,20220817,은평구청 인근,[개] 믹스견,갈,2020(년생),5(Kg),서울-은평-2022-00173,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181408656[1].jpg,보호중,M,N,오른귀반접힘. 코검정. 눈곱. 얌전함. 겁많음. 발톱미용됨. 꼬리단미안됨. 털상태양호. 외이염,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-48,서울특별시 은평구,이지현,02-351-6842
411305202200272,http://www.animal.go.kr/files/shelter/2022/08/202208181408482_s.jpg,20220817,장안동 일대,[고양이] 한국 고양이,검/흰,2021(년생),2.8(Kg),서울-동대문-2022-00119,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181408482.jpg,종료(입양),Q,U,누가 버리고 갔다함. 겁많음. 예민/경계심함. 성별확인 불가.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,서울특별시 동대문구,남우창,02-2127-4268
411304202200555,http://www.animal.go.kr/files/shelter/2022/08/202208181408162[1]_s.jpg,20220817,동일로222 인근,[고양이] 한국 고양이,검줄/흰,2022(년생),1.2(Kg),서울-광진-2022-00099,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181408162[1].jpg,종료(자연사),F,U,눈곱. 콧물. 기립못함. 좌 전지 상완 골절. 우 전지 팔꿈치 이상. 우 후지 대퇴골절.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 광진구,최승민,02-450-7379
411304202200554,http://www.animal.go.kr/files/shelter/2022/08/20220818140825_s.jpg,20220817,능동로16길 인근,[개] 웰시 코기 펨브로크,갈/흰,2022(년생),11.2(Kg),서울-광진-2022-00098,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/20220818140825.jpg,종료(반환),M,Y,코검정. 사람좋아함/활발. 꼬리단미됨. 털상태양호.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 광진구,최승민,02-450-7379
411301202200295,http://www.animal.go.kr/files/shelter/2022/08/202208181408770_s.jpg,20220817,동호로8라길 3-9 인근,[고양이] 한국 고양이,갈/검/흰,2022(년생),1.3(Kg),서울-중구-2022-00064,20220818,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208181408770.jpg,종료(자연사),F,U,머리부음. 눈곱. 비강/구강 출혈흔적. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 중구,중구,02-3396-5073
448548202200397,http://www.animal.go.kr/files/shelter/2022/08/202208171108525_s.jpg,20220817,합천읍,[개] 믹스견,갈색,2022(년생),3(Kg),경남-합천-2022-00342,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171108525.jpg,보호중,M,N,온순함,태민동물병원,010-2868-2108,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",경상남도 합천군,정주연,055-930-3565
448548202200396,http://www.animal.go.kr/files/shelter/2022/08/202208171108247_s.jpg,20220817,합천읍,[개] 믹스견,검은색,2019(년생),5(Kg),경남-합천-2022-00341,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171108247.jpg,보호중,M,N,활발한 성격,태민동물병원,010-2868-2108,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",경상남도 합천군,정주연,055-930-3565
448548202200395,http://www.animal.go.kr/files/shelter/2022/08/202208171108468_s.jpg,20220817,합천 119 구조대,[개] 믹스견,흰색,2016(년생),18(Kg),경남-합천-2022-00340,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171108468.jpg,보호중,M,N,마을 배회,태민동물병원,010-2868-2108,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",경상남도 합천군,정주연,055-930-3565
448548202200394,http://www.animal.go.kr/files/shelter/2022/08/202208171108208_s.jpg,20220817,가회면,[개] 믹스견,갈색,2022(년생),7(Kg),경남-합천-2022-00339,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171108208.jpg,보호중,M,N,도로변 유기,태민동물병원,010-2868-2108,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",경상남도 합천군,정주연,055-930-3565
448548202200393,http://www.animal.go.kr/files/shelter/2022/08/202208171108190_s.jpg,20220817,대병면,[개] 믹스견,"검은색,흰색",2019(년생),4(Kg),경남-합천-2022-00338,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171108190.jpg,보호중,M,N,온순함,태민동물병원,010-2868-2108,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",경상남도 합천군,정주연,055-930-3565
448545202200087,http://www.animal.go.kr/files/shelter/2022/08/202208171608618[1]_s.jpg,20220817,산청군 신안면 중촌갈천로633-24 주변 농장내,[개] 믹스견,연갈색,2022(년생),6.5(Kg),경남-산청-2022-00089,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171608618[1].jpg,보호중,M,N,구조시 목줄없음,산청동물보호센터,010-2050-8577,경상남도 산청군 산청읍 친환경로 2783-25 (산청읍),경상남도 산청군,백종수,055-970-7844
448541202201290,http://www.animal.go.kr/files/shelter/2022/08/202208171508627_s.jpg,20220817,대합면 평지,[개] 믹스견,갈색+노랑,2022(년생),2(Kg),경남-창녕-2022-00573,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171508627.jpg,보호중,M,N,동네 떠돌이 개 강아지,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,경상남도 창녕군,창녕군,055-530-6103
448541202201289,http://www.animal.go.kr/files/shelter/2022/08/202208171508469_s.jpg,20220817,대합면 평지,[개] 믹스견,갈색+노랑,2022(년생),2(Kg),경남-창녕-2022-00572,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171508469.jpg,보호중,M,N,동네 떠돌이 개 강아지,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,경상남도 창녕군,창녕군,055-530-6103
448541202201288,http://www.animal.go.kr/files/shelter/2022/08/202208171508306_s.jpg,20220817,대합면 평지,[개] 믹스견,갈색+노랑,2022(년생),2(Kg),경남-창녕-2022-00571,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171508306.jpg,보호중,M,N,동네 떠돌이 개 강아지,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,경상남도 창녕군,창녕군,055-530-6103
448541202201287,http://www.animal.go.kr/files/shelter/2022/08/202208171508561_s.jpg,20220817,대합면 평지,[개] 믹스견,갈색+노랑,2022(년생),2(Kg),경남-창녕-2022-00570,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171508561.jpg,보호중,F,N,동네 떠돌이 개 강아지,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,경상남도 창녕군,창녕군,055-530-6103
448541202201286,http://www.animal.go.kr/files/shelter/2022/08/202208171508860_s.jpg,20220817,대합면 평지,[개] 믹스견,노랑,2019(년생),8(Kg),경남-창녕-2022-00569,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171508860.jpg,보호중,F,N,동네 떠돌이 개,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,경상남도 창녕군,창녕군,055-530-6103
448541202201285,http://www.animal.go.kr/files/shelter/2022/08/202208171508343_s.jpg,20220817,대합면 등지리,[개] 믹스견,노랑+갈색,2017(년생),8(Kg),경남-창녕-2022-00568,20220817,20220829,http://www.animal.go.kr/files/shelter/2022/08/202208171508343.jpg,보호중,M,N,동네 떠돌이 개,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,경상남도 창녕군,창녕군,055-530-6103
