desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
446499202200364,http://www.animal.go.kr/files/shelter/2022/08/202208311108246_s.jpg,20220831,완도읍 대야리 40번지,[개] 믹스견,흰색,2022(년생),4(Kg),전남-완도-2022-00339,20220905,20220915,http://www.animal.go.kr/files/shelter/2022/08/202208311108246.jpg,보호중,M,U,흰색,유기동물임시보호센터,061-550-5743,전라남도 완도군 신지면 신지로6번길 23-89 (신지면),전라남도 완도군,완도군,061-550-5741,
446499202200363,http://www.animal.go.kr/files/shelter/2022/08/202208311108939_s.jpg,20220831,완도읍 대야리40번지,[개] 믹스견,갈색,2022(년생),3(Kg),전남-완도-2022-00338,20220905,20220915,http://www.animal.go.kr/files/shelter/2022/08/202208311108939.jpg,보호중,M,U,갈색,유기동물임시보호센터,061-550-5743,전라남도 완도군 신지면 신지로6번길 23-89 (신지면),전라남도 완도군,완도군,061-550-5741,
446499202200362,http://www.animal.go.kr/files/shelter/2022/08/202208311108894_s.jpg,20220831,완도읍 대야리40번지,[개] 믹스견,흰색,2022(년생),4(Kg),전남-완도-2022-00337,20220905,20220915,http://www.animal.go.kr/files/shelter/2022/08/202208311108894.jpg,보호중,F,U,흰색,유기동물임시보호센터,061-550-5743,전라남도 완도군 신지면 신지로6번길 23-89 (신지면),전라남도 완도군,완도군,061-550-5741,
428357202200912,http://www.animal.go.kr/files/shelter/2022/09/202209051109866_s.jpg,20220831,삼흥리15-6,[개] 믹스견,검정,2019(년생),5.28(Kg),인천-강화-2022-00414,20220905,20220915,http://www.animal.go.kr/files/shelter/2022/09/202209051109866.jpg,보호중,F,N,아래 양쪽 송곳니가 밖으로 나와있슴,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200911,http://www.animal.go.kr/files/shelter/2022/09/202209050009414_s.jpg,20220831,흥왕리576,[개] 믹스견,흰바탕에 갈색 무늬,2022(년생),1.42(Kg),인천-강화-2022-00413,20220905,20220915,http://www.animal.go.kr/files/shelter/2022/09/202209050009414.jpg,보호중,F,N,생후50일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200910,http://www.animal.go.kr/files/shelter/2022/09/202209050009868_s.jpg,20220831,흥왕리576,[개] 믹스견,갈색,2022(년생),2.42(Kg),인천-강화-2022-00412,20220905,20220915,http://www.animal.go.kr/files/shelter/2022/09/202209050009868.jpg,보호중,M,N,생후50일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200909,http://www.animal.go.kr/files/shelter/2022/09/202209050009435_s.jpg,20220831,흥왕리 576,[개] 믹스견,갈색,2022(년생),2.50(Kg),인천-강화-2022-00411,20220905,20220915,http://www.animal.go.kr/files/shelter/2022/09/202209050009435.jpg,보호중,M,N,생후50일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200908,http://www.animal.go.kr/files/shelter/2022/09/202209050009872_s.jpg,20220831,흥왕리 576,[개] 믹스견,갈색,2022(년생),2.30(Kg),인천-강화-2022-00410,20220905,20220915,http://www.animal.go.kr/files/shelter/2022/09/202209050009872.jpg,보호중,F,N,생후50일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
426334202200680,http://www.animal.go.kr/files/shelter/2022/09/202209050909362_s.jpg,20220831,가락타운 3단지,[고양이] 한국 고양이,"흰색1, 갈색1",2022(년생),0.1(Kg),부산-사하-2022-00377,20220905,20220915,http://www.animal.go.kr/files/shelter/2022/09/202209050909362.jpg,보호중,M,U,"생후 1주 추정, 매우허약 수컷2마리임",(사)하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동),부산광역시 사하구,박혜영,051-220-4477,
430364202200244,http://www.animal.go.kr/files/shelter/2022/09/202209041409900_s.jpg,20220831,대성동 삼거리 인근,[개] 믹스견,갈&#8226;백,2020(년생),6(Kg),대전-동구-2022-00240,20220904,20220914,http://www.animal.go.kr/files/shelter/2022/09/202209041409900.jpg,보호중,M,U,,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 동구,황서영,042-251-4647,
430364202200243,http://www.animal.go.kr/files/shelter/2022/09/202209041409708_s.jpg,20220831,용운동 용방마을 A 인근,[개] 말티즈,백색,2011(년생),6(Kg),대전-동구-2022-00239,20220904,20220914,http://www.animal.go.kr/files/shelter/2022/09/202209041409708.jpg,보호중,F,U,,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 동구,황서영,042-251-4647,
430364202200242,http://www.animal.go.kr/files/shelter/2022/09/202209041409491[1]_s.jpg,20220831,대전역 인근,[개] 푸들,흑색,2014(년생),6(Kg),대전-동구-2022-00238,20220904,20220914,http://www.animal.go.kr/files/shelter/2022/09/202209041409491[1].jpg,종료(반환),M,U,주인반환,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 동구,황서영,042-251-4647,
430364202200241,http://www.animal.go.kr/files/shelter/2022/09/202209041409928_s.jpg,20220831,용전동 복합터미널 인근,[기타축종],갈&#8226;백,2021(년생),0.2(Kg),대전-동구-2022-00237,20220904,20220914,http://www.animal.go.kr/files/shelter/2022/09/202209041409928.jpg,보호중,M,U,,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 동구,황서영,042-251-4647,
428358202200164,http://www.animal.go.kr/files/shelter/2022/08/202209011109555_s.jpg,20220831,옹진군 영흥면사무소,[개] 믹스견,갈/흰,2019(년생),5(Kg),인천-옹진-2022-00096,20220904,20220919,http://www.animal.go.kr/files/shelter/2022/08/202209011109555.jpg,보호중,F,U,뒷다리부상으로 못걸음,인천수의사회유기동물,032-515-7567,인천광역시 계양구 다남동 35-8,인천광역시 옹진군,김미라,032-899-2982,
429362202200828,http://www.animal.go.kr/files/shelter/2022/09/202209031709410_s.jpg,20220831,북구 본촌동,[개] 믹스견,"갈,흰",2019(년생),4.2(Kg),광주-북구-2022-00625,20220903,20220913,http://www.animal.go.kr/files/shelter/2022/09/202209031709410.jpg,보호중,F,U,22-0879 달래,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주광역시 북구,북구,062-410-6557,
448547202200592,http://www.animal.go.kr/files/shelter/2022/09/202209021909292_s.jpg,20220831,고제면 농산리 759-3,[개] 믹스견,갈색,2018(년생),7(Kg),경남-거창-2022-00264,20220902,20220913,http://www.animal.go.kr/files/shelter/2022/09/202209021909292.jpg,보호중,M,N,온순함,거창유기동물보호센터,055-945-6500,경상남도 거창군 남상면 수남로 1934-12,경상남도 거창군,거창군,055-940-8140,
448537202201036,http://www.animal.go.kr/files/shelter/2022/09/202209021409748_s.jpg,20220831,중곡 이편한세상 근처,[개] 믹스견,검은색,2019(년생),15(Kg),경남-거제-2022-00884,20220902,20220913,http://www.animal.go.kr/files/shelter/2022/09/202209021409748.jpg,종료(반환),M,N,약간 경계있음,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366,
448536202201629,http://www.animal.go.kr/files/shelter/2022/09/202209021409982_s.jpg,20220831,하남,[개] 포메라니안,화이트,2019(년생),5(Kg),경남-밀양-2022-01357,20220902,20220913,http://www.animal.go.kr/files/shelter/2022/09/202209021409982.jpg,보호중,F,N,사람을 좋아하는 예쁘고 순한 아이,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7185,
446482202200535,http://www.animal.go.kr/files/shelter/2022/08/202208311708857_s.jpg,20220831,장배기길 63 중흥 2차 아파트 상가옥상,[고양이] 한국 고양이,흰 노 검 (카오스),2022(년생),0.04(Kg),전남-순천-2022-00534,20220902,20220913,http://www.animal.go.kr/files/shelter/2022/08/202208311708857.jpg,보호중,F,N,"허피스, 이유식먹이",대한동물사랑협회,061-755-7547,전라남도 순천시 상사면 민속마을길 978 (상사면) .,전라남도 순천시,순천시,061-749-3094,
