desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
431372202200391,http://www.animal.go.kr/files/shelter/2022/08/202208151308884_s.jpg,20220815,진장동 도로변,[고양이] 한국 고양이,고등어,2022(년생),0.98(Kg),울산-북구-2022-00208,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151308884.jpg,종료(자연사),M,N,교통사고 골반뼈 골절/앞다리 뒷다리 쓸림으로 살가죽 벗겨짐(괴사)/마름,정철동물병원,052-287-0348,울산광역시 북구 진장17길 11 (진장동) 정철동물병원,울산광역시 북구,구리라,052-241-8085,패혈증
429361202200314,http://www.animal.go.kr/files/shelter/2022/08/202208151508310_s.jpg,20220815,남구 월산동,[고양이] 한국 고양이,"검,노",2022(년생),1.9(Kg),광주-남구-2022-00318,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151508310.jpg,종료(자연사),F,N,22-4072,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주광역시 남구,남구,062-607-2754,
428357202200892,http://www.animal.go.kr/files/shelter/2022/08/202208151808734[1]_s.jpg,20220815,국화리 고려산식당 입구,[개] 믹스견,흰색,2022(년생),0.74(Kg),인천-강화-2022-00394,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151808734[1].jpg,보호중,M,N,생후20일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200891,http://www.animal.go.kr/files/shelter/2022/08/202208151808805_s.jpg,20220815,국화리 고려산식당 입구,[개] 믹스견,흰색,2022(년생),0.80(Kg),인천-강화-2022-00393,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151808805.jpg,보호중,F,N,생후20일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200890,http://www.animal.go.kr/files/shelter/2022/08/202208151808948_s.jpg,20220815,국화리 고려산식당 입구,[개] 믹스견,흰색,2022(년생),0.68(Kg),인천-강화-2022-00392,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151808948.jpg,보호중,M,N,생후20일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200889,http://www.animal.go.kr/files/shelter/2022/08/202208151808564_s.jpg,20220815,국화리 고려산식당 입구,[개] 믹스견,흰색,2022(년생),0.74(Kg),인천-강화-2022-00391,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151808564.jpg,보호중,F,N,생후20일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428356202201120,http://www.animal.go.kr/files/shelter/2022/08/202208151108151_s.jpg,20220815,서구 불로동795-5우석타운,[고양이] 한국 고양이,파티칼라,2022(년생),0.1(Kg),인천-서구-2022-00643,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151108151.jpg,종료(입양),F,N,.한달정도 추정,우리동물병원,032-566-0075,인천광역시 서구 서곶로 349 (연희동) 우리동물병원,인천광역시 서구,김하린,032-560-1903,
428356202201119,http://www.animal.go.kr/files/shelter/2022/08/202208151108840_s.jpg,20220815,서구 불로동795-5우석타운,[고양이] 한국 고양이,파티칼라,2022(년생),0.1(Kg),인천-서구-2022-00642,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151108840.jpg,종료(입양),M,N,.한달정도 추정,우리동물병원,032-566-0075,인천광역시 서구 서곶로 349 (연희동) 우리동물병원,인천광역시 서구,김하린,032-560-1903,
428356202201118,http://www.animal.go.kr/files/shelter/2022/08/202208151108820_s.jpg,20220815,서구 불로동795-5우석타운,[고양이] 한국 고양이,파티칼라,2022(년생),0.1(Kg),인천-서구-2022-00641,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151108820.jpg,종료(자연사),M,N,.한달정도 추정,우리동물병원,032-566-0075,인천광역시 서구 서곶로 349 (연희동) 우리동물병원,인천광역시 서구,김하린,032-560-1903,
428356202201117,http://www.animal.go.kr/files/shelter/2022/08/202208151108770_s.jpg,20220815,서구 불로동795-5 우석타운,[고양이] 한국 고양이,검정,2022(년생),0.1(Kg),인천-서구-2022-00640,20220815,20220825,http://www.animal.go.kr/files/shelter/2022/08/202208151108770.jpg,종료(입양),F,N,생후한달 추정,우리동물병원,032-566-0075,인천광역시 서구 서곶로 349 (연희동) 우리동물병원,인천광역시 서구,김하린,032-560-1903,
