desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
443447202200216,http://www.animal.go.kr/files/shelter/2022/07/202208080908915[1]_s.jpg,20220804,음성군 음성읍 토계울길 78,[개] 믹스견,갈색,2021(년생),6(Kg),충북-음성-2022-00183,20220808,20220816,http://www.animal.go.kr/files/shelter/2022/07/202208080908915[1].jpg,보호중,M,N,체구는 중간정도의 크기로 다리는 약간 짧음.,금왕동물병원,043-877-0763,충청북도 음성군 금왕읍 대금로 1498 (금왕읍) 금왕동물병원,충청북도 음성군,admin,043-871-3404,
441559202200897,http://www.animal.go.kr/files/shelter/2022/07/202208051608609_s.jpg,20220804,백석읍 방성리 888 휴먼시아아파트 인근,[개] 믹스견,갈/흰,2022(년생),4.2(Kg),경기-양주-2022-00359,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208051608609.jpg,종료(반환),F,U,양귀처짐. 코갈색+분홍. 사람좋아함/활발/애교있음. 꼬리단미안됨. 털때탐,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),경기도 양주시,양주시 동물보호팀,031-8082-7361,
431373202200969,http://www.animal.go.kr/files/shelter/2022/07/20220808140803_s.jpg,20220804,웅촌면 하대길 21 인근도로,[개] 믹스견,검정/흰색,2019(년생),6.1(Kg),울산-울주-2022-00568,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/20220808140803.jpg,종료(반환),M,N,순함/사람 좋아함,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,울산광역시 울주군,김은지,052-204-1635,
431373202200966,http://www.animal.go.kr/files/shelter/2022/07/202208081408615_s.jpg,20220804,배네 1공영주차장,[개] 믹스견,연갈색,2019(년생),15.1(Kg),울산-울주-2022-00565,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081408615.jpg,보호중,Q,N,경계심 심함/뒷다리 못씀,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,울산광역시 울주군,김은지,052-204-1635,
431371202200350,http://www.animal.go.kr/files/shelter/2022/07/202208081408870[1]_s.jpg,20220804,"동구 대학길 86, 휴대폰 매장",[개] 치와와,연회색/흰색,2017(년생),2.9(Kg),울산-동구-2022-00202,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081408870[1].jpg,보호중,F,N,순함,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산광역시 동구,울산광역시 동구,052-209-3538,
431371202200349,http://www.animal.go.kr/files/shelter/2022/07/202208081408624_s.jpg,20220804,"동구 대학길 86, 휴대폰 매장",[개] 포메라니안,흰색,2017(년생),3.1(Kg),울산-동구-2022-00201,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081408624.jpg,보호중,F,N,겁이 많음/눈물자국 심함,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산광역시 동구,울산광역시 동구,052-209-3538,
431369202200482,http://www.animal.go.kr/files/shelter/2022/07/202208081508599_s.jpg,20220804,성안동 1227-1,[개] 믹스견,갈색/검정,2022(년생),4.1(Kg),울산-중구-2022-00230,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081508599.jpg,보호중,F,N,허약/상태가 많이 안 좋음,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산광역시 중구,권나영(중구청),052-290-3333,
431369202200481,http://www.animal.go.kr/files/shelter/2022/07/202208081508155_s.jpg,20220804,성안동 1227-1,[개] 믹스견,갈색/검정/흰색,2022(년생),4.5(Kg),울산-중구-2022-00229,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081508155.jpg,보호중,F,N,약간 경계심/닥스훈트믹스추정,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산광역시 중구,권나영(중구청),052-290-3333,
431369202200480,http://www.animal.go.kr/files/shelter/2022/07/202208081508492_s.jpg,20220804,성안동 1227-1,[개] 믹스견,흰색/갈색/검정,2018(년생),5.1(Kg),울산-중구-2022-00228,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081508492.jpg,보호중,F,N,약간 경계심/약간,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산광역시 중구,권나영(중구청),052-290-3333,
428351202200627,http://www.animal.go.kr/files/shelter/2022/07/202208051008653_s.jpg,20220804,미추홀구 주안동 58-11,[개] 포메라니안,흰색,2022(년생),1(Kg),인천-미추홀-2022-00349,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208051008653.jpg,종료(입양),F,N,"3개월추정, 부정교합",인천광역시 수의사회,032-515-7567,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소)",인천광역시 미추홀구,미추홀구,032-880-4384,입양전제로 임시보호중
